Country,Region,Year,Happiness Score,GDP per Capita
Finland,Western Europe,2015,7.592,1.787
Denmark,Western Europe,2015,7.507,1.843
Iceland,Western Europe,2015,6.362,1.759
Sweden,Western Europe,2015,6.486,1.824
Israel,Middle East,2015,6.616,1.764
Netherlands,Western Europe,2015,6.615,1.777
Norway,Western Europe,2015,6.494,1.855
United States,North America,2015,6.481,1.853
Finland,Western Europe,2016,7.654,1.807
Denmark,Western Europe,2016,7.532,1.8
Iceland,Western Europe,2016,6.655,1.797
Sweden,Western Europe,2016,6.54,1.79
Israel,Middle East,2016,6.624,1.805
Netherlands,Western Europe,2016,6.659,1.809
Norway,Western Europe,2016,6.424,1.811
United States,North America,2016,6.492,1.772
Finland,Western Europe,2017,7.784,1.751
Denmark,Western Europe,2017,7.533,1.77
Iceland,Western Europe,2017,6.65,1.715
Sweden,Western Europe,2017,6.498,1.762
Israel,Middle East,2017,6.402,1.823
Netherlands,Western Europe,2017,6.461,1.888
Norway,Western Europe,2017,6.641,1.751
United States,North America,2017,6.507,1.695
Finland,Western Europe,2018,7.725,1.709
Denmark,Western Europe,2018,7.65,1.916
Iceland,Western Europe,2018,6.612,1.778
Sweden,Western Europe,2018,6.503,1.821
Israel,Middle East,2018,6.399,1.85
Netherlands,Western Europe,2018,6.284,1.752
Norway,Western Europe,2018,6.45,1.883
United States,North America,2018,6.447,1.825
Finland,Western Europe,2019,7.82,1.869
Denmark,Western Europe,2019,7.522,1.72
Iceland,Western Europe,2019,6.164,1.861
Sweden,Western Europe,2019,6.552,1.83
Israel,Middle East,2019,6.639,1.773
Netherlands,Western Europe,2019,6.33,1.791
Norway,Western Europe,2019,6.491,1.828
United States,North America,2019,6.355,1.771
Finland,Western Europe,2020,7.66,1.851
Denmark,Western Europe,2020,7.82,1.818
Iceland,Western Europe,2020,6.427,1.741
Sweden,Western Europe,2020,6.447,1.705
Israel,Middle East,2020,6.551,1.778
Netherlands,Western Europe,2020,6.382,1.827
Norway,Western Europe,2020,6.534,1.833
United States,North America,2020,6.483,1.835
Finland,Western Europe,2021,7.796,1.932
Denmark,Western Europe,2021,7.68,1.839
Iceland,Western Europe,2021,6.452,1.808
Sweden,Western Europe,2021,6.315,1.758
Israel,Middle East,2021,6.578,1.8
Netherlands,Western Europe,2021,6.634,1.856
Norway,Western Europe,2021,6.481,1.723
United States,North America,2021,6.368,1.785
Finland,Western Europe,2022,7.943,1.754
Denmark,Western Europe,2022,7.501,1.756
Iceland,Western Europe,2022,6.521,1.745
Sweden,Western Europe,2022,6.49,1.806
Israel,Middle East,2022,6.637,1.831
Netherlands,Western Europe,2022,6.435,1.785
Norway,Western Europe,2022,6.521,1.77
United States,North America,2022,6.549,1.799
Finland,Western Europe,2023,7.74,1.798
Denmark,Western Europe,2023,7.606,1.76
Iceland,Western Europe,2023,6.552,1.806
Sweden,Western Europe,2023,6.554,1.76
Israel,Middle East,2023,6.611,1.731
Netherlands,Western Europe,2023,6.502,1.83
Norway,Western Europe,2023,6.558,1.712
United States,North America,2023,6.388,1.654
Finland,Western Europe,2024,7.887,1.843
Denmark,Western Europe,2024,7.525,1.746
Iceland,Western Europe,2024,6.65,1.865
Sweden,Western Europe,2024,6.623,1.831
Israel,Middle East,2024,6.533,1.794
Netherlands,Western Europe,2024,6.469,1.749
Norway,Western Europe,2024,6.683,1.738
United States,North America,2024,6.468,1.765
